品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,202,1kg,5000,4100,,令和4年1月5日（水）,suiexcel (98).xls
きわだ,1033,1kg,3300,600,,令和4年1月5日（水）,suiexcel (98).xls
あじ,2094,1kg,2000,150,,令和4年1月5日（水）,suiexcel (98).xls
さば,505,1kg,594,486,,令和4年1月5日（水）,suiexcel (98).xls
まいわし,232,1kg,540,432,,令和4年1月5日（水）,suiexcel (98).xls
養成ぶり,3960,1kg,1500,700,,令和4年1月5日（水）,suiexcel (98).xls
養成まだい,11649,1kg,1350,120,,令和4年1月5日（水）,suiexcel (98).xls
さごし,380,1kg,864,648,,令和4年1月5日（水）,suiexcel (98).xls
養成はまち,2010,1kg,1458,600,,令和4年1月5日（水）,suiexcel (98).xls
養成かんぱち,3759,1kg,3050,1100,,令和4年1月5日（水）,suiexcel (98).xls
するめいか,148,1kg,1512,1404,,令和4年1月5日（水）,suiexcel (98).xls
さけ,9433,1kg,1512,250,,令和4年1月5日（水）,suiexcel (98).xls
養成ふぐ,2982,1kg,3500,1250,,令和4年1月5日（水）,suiexcel (98).xls
たこ,250,1kg,2500,1188,,令和4年1月5日（水）,suiexcel (98).xls
かに,1040,1kg,3456,864,,令和4年1月5日（水）,suiexcel (98).xls
はまぐり,560,1kg,3000,630,,令和4年1月5日（水）,suiexcel (98).xls
あさり,2174,1kg,940,400,,令和4年1月5日（水）,suiexcel (98).xls
かき,5163,1kg,2850,580,,令和4年1月5日（水）,suiexcel (98).xls
冷凍もんごいか,200,1kg,3240,1026,,令和4年1月5日（水）,suiexcel (98).xls
冷凍たこ,100,1kg,2700,1296,,令和4年1月5日（水）,suiexcel (98).xls
冷凍えび,1723,1kg,4860,756,,令和4年1月5日（水）,suiexcel (98).xls
塩さば,428,1kg,500,400,,令和4年1月5日（水）,suiexcel (98).xls
塩さけ,3076,1kg,1450,830,,令和4年1月5日（水）,suiexcel (98).xls
塩すけそうこ,903,1kg,2310,454,,令和4年1月5日（水）,suiexcel (98).xls
開干あじ,138,1kg,1620,700,,令和4年1月5日（水）,suiexcel (98).xls
若干かれい,64,1kg,1200,1200,,令和4年1月5日（水）,suiexcel (98).xls
ちりめん,1622,1kg,2000,450,,令和4年1月5日（水）,suiexcel (98).xls
かますごかまあげ,100,1kg,972,972,,令和4年1月5日（水）,suiexcel (98).xls
くろまぐろ,250,1kg,3240,3078,,令和4年1月6日（木）,suiexcel-1 (50).xls
きわだ,714,1kg,2700,1296,,令和4年1月6日（木）,suiexcel-1 (50).xls
あじ,941,1kg,1500,250,,令和4年1月6日（木）,suiexcel-1 (50).xls
さば,1706,1kg,3500,250,,令和4年1月6日（木）,suiexcel-1 (50).xls
まいわし,1365,1kg,324,216,,令和4年1月6日（木）,suiexcel-1 (50).xls
養成ぶり,1483,1kg,1350,1080,,令和4年1月6日（木）,suiexcel-1 (50).xls
養成まだい,3487,1kg,1350,510,,令和4年1月6日（木）,suiexcel-1 (50).xls
さごし,510,1kg,756,540,,令和4年1月6日（木）,suiexcel-1 (50).xls
養成はまち,418,1kg,1458,1000,,令和4年1月6日（木）,suiexcel-1 (50).xls
養成かんぱち,1157,1kg,1566,1200,,令和4年1月6日（木）,suiexcel-1 (50).xls
するめいか,150,1kg,1580,1080,,令和4年1月6日（木）,suiexcel-1 (50).xls
