品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,386,1kg,2900,2650,,令和元年5月3日（金）,suiexcel-1 (6).xls
きわだ,2854,1kg,2320,800,,令和元年5月3日（金）,suiexcel-1 (6).xls
あじ,2254,1kg,840,140,,令和元年5月3日（金）,suiexcel-1 (6).xls
さば,2709,1kg,2000,180,,令和元年5月3日（金）,suiexcel-1 (6).xls
まいわし,2742,1kg,230,108,,令和元年5月3日（金）,suiexcel-1 (6).xls
養成ぶり,1337,1kg,2430,800,,令和元年5月3日（金）,suiexcel-1 (6).xls
かつお,2562,1kg,2000,500,,令和元年5月3日（金）,suiexcel-1 (6).xls
養成まだい,5523,1kg,3330,700,,令和元年5月3日（金）,suiexcel-1 (6).xls
さわら,2706,1kg,1600,648,,令和元年5月3日（金）,suiexcel-1 (6).xls
かれい,1244,1kg,900,290,,令和元年5月3日（金）,suiexcel-1 (6).xls
養成はまち,1377,1kg,1242,750,,令和元年5月3日（金）,suiexcel-1 (6).xls
養成かんぱち,2156,1kg,1836,1100,,令和元年5月3日（金）,suiexcel-1 (6).xls
するめいか,560,1kg,1080,972,,令和元年5月3日（金）,suiexcel-1 (6).xls
さけ,5427,1kg,1850,960,,令和元年5月3日（金）,suiexcel-1 (6).xls
しじみ,1150,1kg,1296,324,,令和元年5月3日（金）,suiexcel-1 (6).xls
あさり,3903,1kg,972,360,,令和元年5月3日（金）,suiexcel-1 (6).xls
さざえ,2133,1kg,1100,400,,令和元年5月3日（金）,suiexcel-1 (6).xls
ほたて貝,1130,1kg,5110,280,,令和元年5月3日（金）,suiexcel-1 (6).xls
冷凍もんごいか,468,1kg,4104,702,,令和元年5月3日（金）,suiexcel-1 (6).xls
冷凍たこ,180,1kg,2268,1080,,令和元年5月3日（金）,suiexcel-1 (6).xls
冷凍えび,1388,1kg,4320,720,,令和元年5月3日（金）,suiexcel-1 (6).xls
塩さば,2698,1kg,3550,410,,令和元年5月3日（金）,suiexcel-1 (6).xls
塩さけ,1600,1kg,1650,1020,,令和元年5月3日（金）,suiexcel-1 (6).xls
塩すけそうこ,1272,1kg,3900,750,,令和元年5月3日（金）,suiexcel-1 (6).xls
