品目,数量,単位,高値,中値,安値,主な産地,日付,元ファイル
くろまぐろ,753.0,1kg,4000,3132,2916,長崎  他,令和4年4月1日（金）,suiexcel.xlsx
きわだ,914.0,1kg,2700,1620,1080,和歌山  沖縄  他,令和4年4月1日（金）,suiexcel.xlsx
あじ,2716.0,1kg,5500,0,200,長崎  和歌山  他,令和4年4月1日（金）,suiexcel.xlsx
さば,2019.0,1kg,4200,0,210,千葉  長崎  他,令和4年4月1日（金）,suiexcel.xlsx
まいわし,1684.0,1kg,216,0,108,石川  他,令和4年4月1日（金）,suiexcel.xlsx
養成ぶり,396.0,1kg,1700,0,1080,愛媛  大分  他,令和4年4月1日（金）,suiexcel.xlsx
かつお,994.0,1kg,1100,0,432,鹿児島  宮崎  他,令和4年4月1日（金）,suiexcel.xlsx
養成まだい,4804.0,1kg,1350,0,300,愛媛  他,令和4年4月1日（金）,suiexcel.xlsx
さわら,822.0,1kg,2000,0,1150,福岡  韓国  他,令和4年4月1日（金）,suiexcel.xlsx
かれい,2163.0,1kg,7000,0,200,鳥取  青森  他,令和4年4月1日（金）,suiexcel.xlsx
養成はまち,407.0,1kg,1566,0,1260,徳島  愛媛  他,令和4年4月1日（金）,suiexcel.xlsx
養成かんぱち,942.0,1kg,1770,0,1250,愛媛  鹿児島  他,令和4年4月1日（金）,suiexcel.xlsx
さけ,1739.0,1kg,1950,0,730,ﾉﾙｳｪｰ  ｶﾅﾀﾞ  他,令和4年4月1日（金）,suiexcel.xlsx
たこ,128.0,1kg,5000,0,1100,岩手  他,令和4年4月1日（金）,suiexcel.xlsx
はまぐり,308.0,1kg,2268,0,864,千葉  他,令和4年4月1日（金）,suiexcel.xlsx
しじみ,522.0,1kg,1360,0,702,島根  他,令和4年4月1日（金）,suiexcel.xlsx
あさり,796.0,1kg,1404,0,432,中国  熊本  他,令和4年4月1日（金）,suiexcel.xlsx
ほたて貝,901.0,1kg,6220,0,324,北海道  他,令和4年4月1日（金）,suiexcel.xlsx
冷凍もんごいか,490.0,1kg,3240,1512,648,ﾓﾛｯｺ  他,令和4年4月1日（金）,suiexcel.xlsx
冷凍たこ,50.0,1kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月1日（金）,suiexcel.xlsx
冷凍えび,2045.0,1kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月1日（金）,suiexcel.xlsx
塩さば,12346.0,1kg,1050,486,320,ﾉﾙｳｪｰ  千葉  他,令和4年4月1日（金）,suiexcel.xlsx
塩さけ,11602.0,1kg,2450,1566,400,ﾁﾘ  他,令和4年4月1日（金）,suiexcel.xlsx
塩すけそうこ,2542.0,1kg,3200,1836,580,大阪  ﾛｼｱ  他,令和4年4月1日（金）,suiexcel.xlsx
開干さんま,301.0,1kg,1944,1900,1404,北海道  他,令和4年4月1日（金）,suiexcel.xlsx
開干あじ,476.0,1kg,2000,0,110,長崎  他,令和4年4月1日（金）,suiexcel.xlsx
若干かれい,328.0,1kg,8600,0,864,島根  他,令和4年4月1日（金）,suiexcel.xlsx
ちりめん,647.0,1kg,2310,0,500,兵庫  大分  他,令和4年4月1日（金）,suiexcel.xlsx
なまりぶし,49.0,1kg,1600,0,920,静岡  他,令和4年4月1日（金）,suiexcel.xlsx
ほたるいか,1425.0,1kg,5500,0,500,富山  兵庫  他,令和4年4月1日（金）,suiexcel.xlsx
くろまぐろ,928.0,1kg,3294,3186,2800,長崎  他,令和4年4月2日（土）,suiexcel-1.xlsx
きわだ,1105.0,1kg,2700,1620,1080,和歌山  沖縄  他,令和4年4月2日（土）,suiexcel-1.xlsx
あじ,1600.0,1kg,5500,0,330,長崎  和歌山  他,令和4年4月2日（土）,suiexcel-1.xlsx
さば,2470.0,1kg,1700,0,180,長崎  千葉  他,令和4年4月2日（土）,suiexcel-1.xlsx
まいわし,1296.0,1kg,216,0,108,石川  他,令和4年4月2日（土）,suiexcel-1.xlsx
養成ぶり,539.0,1kg,1650,0,1080,愛媛  大分  他,令和4年4月2日（土）,suiexcel-1.xlsx
かつお,1849.0,1kg,1100,0,400,鹿児島  宮崎  他,令和4年4月2日（土）,suiexcel-1.xlsx
養成まだい,6855.0,1kg,1350,0,540,愛媛  他,令和4年4月2日（土）,suiexcel-1.xlsx
さわら,166.0,1kg,2000,0,1296,京都  韓国  他,令和4年4月2日（土）,suiexcel-1.xlsx
かれい,1471.0,1kg,2040,0,260,鳥取  青森  他,令和4年4月2日（土）,suiexcel-1.xlsx
養成はまち,579.0,1kg,1566,0,1300,徳島  愛媛  他,令和4年4月2日（土）,suiexcel-1.xlsx
養成かんぱち,1327.0,1kg,1728,0,1250,愛媛  鹿児島  他,令和4年4月2日（土）,suiexcel-1.xlsx
さけ,2142.0,1kg,2052,0,730,ﾉﾙｳｪｰ  ｶﾅﾀﾞ  他,令和4年4月2日（土）,suiexcel-1.xlsx
たこ,152.0,1kg,4330,0,1700,岩手  他,令和4年4月2日（土）,suiexcel-1.xlsx
はまぐり,442.0,1kg,2376,0,864,千葉  中国  他,令和4年4月2日（土）,suiexcel-1.xlsx
しじみ,623.0,1kg,1300,0,648,島根  他,令和4年4月2日（土）,suiexcel-1.xlsx
あさり,1797.0,1kg,1650,0,378,熊本  中国  他,令和4年4月2日（土）,suiexcel-1.xlsx
ほたて貝,1257.0,1kg,6220,0,432,北海道  他,令和4年4月2日（土）,suiexcel-1.xlsx
冷凍もんごいか,472.0,1kg,3240,1512,648,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和4年4月2日（土）,suiexcel-1.xlsx
冷凍たこ,40.0,1kg,2592,1944,648,ﾓﾛｯｺ  他,令和4年4月2日（土）,suiexcel-1.xlsx
冷凍えび,1662.0,1kg,4860,1458,648,ｲﾝﾄﾞ  他,令和4年4月2日（土）,suiexcel-1.xlsx
