品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,480,1kg,3901.417218543046,1600,,平成31年1月5日（土）,suiexcel (48).xls
きわだ,3058,1kg,3110.3959731543623,1490,,平成31年1月5日（土）,suiexcel (48).xls
あじ,469,1kg,662.4520255863539,170,,平成31年1月5日（土）,suiexcel (48).xls
さば,1820,1kg,648,378,,平成31年1月5日（土）,suiexcel (48).xls
養成ぶり,12118,1kg,1604.7027707808566,600,,平成31年1月5日（土）,suiexcel (48).xls
養成まだい,10629,1kg,2408.7690689110996,972,,平成31年1月5日（土）,suiexcel (48).xls
さごし,766,1kg,648,432,,平成31年1月5日（土）,suiexcel (48).xls
養成はまち,2281,1kg,1603.341786743516,432,,平成31年1月5日（土）,suiexcel (48).xls
養成かんぱち,6640,1kg,2067.8845437616387,700,,平成31年1月5日（土）,suiexcel (48).xls
するめいか,1025,1kg,864,756,,平成31年1月5日（土）,suiexcel (48).xls
さけ,7650,1kg,2633.7878359264496,1296,,平成31年1月5日（土）,suiexcel (48).xls
養成ふぐ,4353,1kg,4380.901476510067,1836,,平成31年1月5日（土）,suiexcel (48).xls
たこ,147,1kg,13600,1404,,平成31年1月5日（土）,suiexcel (48).xls
かに,58,1kg,4536,1315,,平成31年1月5日（土）,suiexcel (48).xls
はまぐり,4144,1kg,1836,540,,平成31年1月5日（土）,suiexcel (48).xls
あさり,2586,1kg,1068.571906354515,432,,平成31年1月5日（土）,suiexcel (48).xls
かき,9357,1kg,2700,864,,平成31年1月5日（土）,suiexcel (48).xls
冷凍もんごいか,416,1kg,4748,864,,平成31年1月5日（土）,suiexcel (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月5日（土）,suiexcel (48).xls
冷凍えび,1896,1kg,3123.6414141414143,972,,平成31年1月5日（土）,suiexcel (48).xls
塩さば,1906,1kg,508,508,,平成31年1月5日（土）,suiexcel (48).xls
塩さけ,968,1kg,1107,1107,,平成31年1月5日（土）,suiexcel (48).xls
塩すけそうこ,616,1kg,4313.819397993311,2182,,平成31年1月5日（土）,suiexcel (48).xls
開干あじ,231,1kg,1260.6259541984732,665,,平成31年1月5日（土）,suiexcel (48).xls
若干かれい,100,1kg,1728,972,,平成31年1月5日（土）,suiexcel (48).xls
ちりめん,1041,1kg,2916,2160,,平成31年1月5日（土）,suiexcel (48).xls
かますごかまあげ,300,1kg,1080,1080,,平成31年1月5日（土）,suiexcel (48).xls
くろまぐろ,88,1kg,4137.443037974684,2850,,平成31年1月7日（月）,suiexcel1 (48).xls
きわだ,2038,1kg,3043.3891547049443,1080,,平成31年1月7日（月）,suiexcel1 (48).xls
あじ,2410,1kg,1019.3920792079207,137,,平成31年1月7日（月）,suiexcel1 (48).xls
さば,3668,1kg,432,324,,平成31年1月7日（月）,suiexcel1 (48).xls
まいわし,400,1kg,432,324,,平成31年1月7日（月）,suiexcel1 (48).xls
養成ぶり,4215,1kg,1188,870,,平成31年1月7日（月）,suiexcel1 (48).xls
養成まだい,5300,1kg,2136.0410798122066,972,,平成31年1月7日（月）,suiexcel1 (48).xls
さごし,3120,1kg,648,432,,平成31年1月7日（月）,suiexcel1 (48).xls
養成はまち,802,1kg,1455.539714867617,700,,平成31年1月7日（月）,suiexcel1 (48).xls
養成かんぱち,2162,1kg,1782.0577281191804,648,,平成31年1月7日（月）,suiexcel1 (48).xls
するめいか,861,1kg,1828.8832116788321,648,,平成31年1月7日（月）,suiexcel1 (48).xls
さけ,3185,1kg,2418.05193160228,1188,,平成31年1月7日（月）,suiexcel1 (48).xls
養成ふぐ,821,1kg,2916,1600,,平成31年1月7日（月）,suiexcel1 (48).xls
たこ,455,1kg,14400,1080,,平成31年1月7日（月）,suiexcel1 (48).xls
かに,141,1kg,4428,1921,,平成31年1月7日（月）,suiexcel1 (48).xls
はまぐり,528,1kg,1836,648,,平成31年1月7日（月）,suiexcel1 (48).xls
あさり,2206,1kg,1020.7176350662589,100,,平成31年1月7日（月）,suiexcel1 (48).xls
かき,4827,1kg,2700,864,,平成31年1月7日（月）,suiexcel1 (48).xls
冷凍もんごいか,400,1kg,2808,864,,平成31年1月7日（月）,suiexcel1 (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月7日（月）,suiexcel1 (48).xls
冷凍えび,1653,1kg,3533.5555555555557,972,,平成31年1月7日（月）,suiexcel1 (48).xls
塩さば,6771,1kg,648,324,,平成31年1月7日（月）,suiexcel1 (48).xls
塩さけ,1432,1kg,2134.2960893854747,1067,,平成31年1月7日（月）,suiexcel1 (48).xls
塩すけそうこ,486,1kg,3734.4206896551723,1875,,平成31年1月7日（月）,suiexcel1 (48).xls
開干あじ,318,1kg,1080,448,,平成31年1月7日（月）,suiexcel1 (48).xls
若干かれい,50,1kg,1620,1620,,平成31年1月7日（月）,suiexcel1 (48).xls
ちりめん,1094,1kg,4844.385836385836,1620,,平成31年1月7日（月）,suiexcel1 (48).xls
かますごかまあげ,50,1kg,1080,1080,,平成31年1月7日（月）,suiexcel1 (48).xls
くろまぐろ,4,1kg,6459,6459,,平成31年1月8日（火）,suiexcel2 (48).xls
きわだ,1087,1kg,3310.1011904761904,1080,,平成31年1月8日（火）,suiexcel2 (48).xls
あじ,1153,1kg,972,170,,平成31年1月8日（火）,suiexcel2 (48).xls
さば,6329,1kg,545,216,,平成31年1月8日（火）,suiexcel2 (48).xls
まいわし,2640,1kg,324,216,,平成31年1月8日（火）,suiexcel2 (48).xls
養成ぶり,3954,1kg,1229.2233472304943,830,,平成31年1月8日（火）,suiexcel2 (48).xls
養成まだい,4510,1kg,2019.3709327548809,972,,平成31年1月8日（火）,suiexcel2 (48).xls
さごし,1216,1kg,540,432,,平成31年1月8日（火）,suiexcel2 (48).xls
養成はまち,509,1kg,1514.1285714285714,700,,平成31年1月8日（火）,suiexcel2 (48).xls
養成かんぱち,1452,1kg,1812.321513002364,540,,平成31年1月8日（火）,suiexcel2 (48).xls
するめいか,387,1kg,1026,911,,平成31年1月8日（火）,suiexcel2 (48).xls
さけ,3197,1kg,2264.779623961522,1165,,平成31年1月8日（火）,suiexcel2 (48).xls
養成ふぐ,444,1kg,4153.033816425121,1836,,平成31年1月8日（火）,suiexcel2 (48).xls
たこ,270,1kg,12300,700,,平成31年1月8日（火）,suiexcel2 (48).xls
かに,136,1kg,5616,2744,,平成31年1月8日（火）,suiexcel2 (48).xls
はまぐり,510,1kg,1836,540,,平成31年1月8日（火）,suiexcel2 (48).xls
あさり,1675,1kg,1067.1827956989248,432,,平成31年1月8日（火）,suiexcel2 (48).xls
かき,5019,1kg,2700,864,,平成31年1月8日（火）,suiexcel2 (48).xls
冷凍もんごいか,400,1kg,2808,864,,平成31年1月8日（火）,suiexcel2 (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月8日（火）,suiexcel2 (48).xls
冷凍えび,1882,1kg,2700,972,,平成31年1月8日（火）,suiexcel2 (48).xls
塩さば,3508,1kg,891.5036927621861,432,,平成31年1月8日（火）,suiexcel2 (48).xls
塩さけ,1848,1kg,1096,1096,,平成31年1月8日（火）,suiexcel2 (48).xls
